order_number,feedback,score,sentence_sentiments,sentiment_classifications,keywords,categorized_feedback,overall_sentiment,sentiment_classification,mismatch
ORD-83634,"The experience was average. It works as described, but I expected more features. The experience was average.",7,"[-0.15, 0.2, -0.15]","['Negative', 'Positive', 'Negative']","['experience average', 'features experience', 'experience', 'expected features', 'average works']",Other,0.025,Neutral,False
ORD-69012,Very dissatisfied. It didn't meet my needs. The order arrived late and was damaged. Customer service was unhelpful. Very dissatisfied. It didn't meet my needs.,2,"[0.2, 0.0, -0.3, 0.0, 0.2, 0.0]","['Positive', 'Neutral', 'Negative', 'Neutral', 'Positive', 'Neutral']","['dissatisfied', 'dissatisfied didn', 'unhelpful dissatisfied', 'customer service', 'customer']",Support Experience,0.03333333333333335,Neutral,False
ORD-54946,"Delivery was on time, but packaging could be better.",5,[0.5],['Positive'],"['packaging better', 'delivery time', 'packaging', 'time packaging', 'delivery']",Other,0.5,Positive,True
ORD-30642,The order arrived late and was damaged.,1,[-0.3],['Negative'],"['order arrived', 'late damaged', 'arrived late', 'order', 'damaged']",Product Quality,-0.3,Negative,False
ORD-26775,I'm disappointed with the product quality. I won't be purchasing again.,3,"[-0.75, 0.0]","['Negative', 'Neutral']","['product quality', 'disappointed product', 'quality', 'quality won', 'disappointed']",Product Quality,-0.75,Negative,False
ORD-18816,I'm disappointed with the product quality. The order arrived late and was damaged. The order arrived late and was damaged.,2,"[-0.75, -0.3, -0.3]","['Negative', 'Negative', 'Negative']","['product quality', 'quality order', 'quality', 'disappointed product', 'order arrived']",Product Quality,-0.45,Negative,False
ORD-22655,Very dissatisfied. It didn't meet my needs.,2,"[0.2, 0.0]","['Positive', 'Neutral']","['dissatisfied didn', 'dissatisfied', 'meet needs', 'needs', 'didn']",Other,0.2,Positive,True
ORD-15879,"The product was okay, nothing special. Delivery was on time, but packaging could be better.",7,"[0.4285714285714286, 0.5]","['Positive', 'Positive']","['packaging better', 'packaging', 'special delivery', 'time packaging', 'delivery time']",Other,0.4523809523809524,Positive,False
ORD-97344,I love the product! It exceeded my expectations.,9,"[0.625, 0.0]","['Positive', 'Neutral']","['love product', 'product', 'product exceeded', 'exceeded expectations', 'love']",Other,0.625,Positive,False
ORD-26659,Everything was delivered ahead of schedule. Everything was delivered ahead of schedule.,8,"[0.0, 0.0]","['Neutral', 'Neutral']","['schedule delivered', 'delivered ahead', 'ahead schedule', 'delivered', 'schedule']",Other,0.0,Neutral,False
ORD-01967,Very satisfied with the quality and support. Very satisfied with the quality and support.,10,"[0.65, 0.65]","['Positive', 'Positive']","['satisfied quality', 'support satisfied', 'quality support', 'satisfied', 'quality']",Product Quality,0.65,Positive,False
ORD-43307,"It works as described, but I expected more features.",6,[0.2],['Positive'],"['features', 'works described', 'expected features', 'works', 'described']",Other,0.2,Positive,False
ORD-06226,"The product was okay, nothing special. Nothing stood out, but nothing was particularly bad either.",5,"[0.4285714285714286, -0.6999999999999998]","['Positive', 'Negative']","['product okay', 'product', 'particularly bad', 'bad', 'special stood']",Other,0.05238095238095245,Neutral,False
ORD-54335,Everything was delivered ahead of schedule. I love the product! It exceeded my expectations. I had a fantastic experience. Will definitely return. Customer service was excellent and very responsive.,9,"[0.0, 0.625, 0.0, 0.4, 0.0, 0.6]","['Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']","['delivered ahead', 'ahead schedule', 'delivered', 'schedule', 'expectations fantastic']",Other,0.445,Positive,False
ORD-54859,Everything was delivered ahead of schedule. Very satisfied with the quality and support. I love the product! It exceeded my expectations. I had a fantastic experience. Will definitely return.,9,"[0.0, 0.65, 0.625, 0.0, 0.4, 0.0]","['Neutral', 'Positive', 'Positive', 'Neutral', 'Positive', 'Neutral']","['schedule satisfied', 'delivered ahead', 'ahead schedule', 'delivered', 'schedule']",Other,0.41874999999999996,Positive,False
ORD-80763,The order arrived late and was damaged. I won't be purchasing again.,2,"[-0.3, 0.0]","['Negative', 'Neutral']","['order arrived', 'order', 'damaged', 'won purchasing', 'arrived']",Product Quality,-0.3,Negative,False
ORD-84292,I love the product! It exceeded my expectations. I had a fantastic experience. Will definitely return. I had a fantastic experience. Will definitely return.,10,"[0.625, 0.0, 0.4, 0.0, 0.4, 0.0]","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']","['definitely return', 'fantastic experience', 'return', 'return fantastic', 'experience definitely']",Other,0.285,Positive,False
ORD-14715,"Nothing stood out, but nothing was particularly bad either. The experience was average. Delivery was on time, but packaging could be better.",5,"[-0.6999999999999998, -0.15, 0.5]","['Negative', 'Negative', 'Positive']","['packaging better', 'packaging', 'average delivery', 'time packaging', 'bad experience']",Other,-0.11666666666666663,Negative,False
ORD-47541,"Delivery was on time, but packaging could be better. The product was okay, nothing special.",7,"[0.5, 0.4285714285714286]","['Positive', 'Positive']","['packaging better', 'delivery time', 'packaging', 'time packaging', 'delivery']",Other,0.4523809523809524,Positive,False
ORD-52549,"It works as described, but I expected more features.",7,[0.2],['Positive'],"['features', 'works described', 'expected features', 'works', 'described']",Other,0.2,Positive,False
ORD-69888,I had a fantastic experience. Will definitely return. Very satisfied with the quality and support.,10,"[0.4, 0.0, 0.65]","['Positive', 'Neutral', 'Positive']","['definitely return', 'return satisfied', 'quality support', 'return', 'fantastic experience']",Other,0.35000000000000003,Positive,False
ORD-14192,The order arrived late and was damaged.,1,[-0.3],['Negative'],"['order arrived', 'late damaged', 'arrived late', 'order', 'damaged']",Product Quality,-0.3,Negative,False
ORD-39613,"It works as described, but I expected more features. It works as described, but I expected more features. The product was okay, nothing special.",7,"[0.2, 0.2, 0.4285714285714286]","['Positive', 'Positive', 'Positive']","['features works', 'features product', 'features', 'works described', 'expected features']",Other,0.2761904761904762,Positive,False
ORD-37012,The order arrived late and was damaged.,2,[-0.3],['Negative'],"['order arrived', 'late damaged', 'arrived late', 'order', 'damaged']",Product Quality,-0.3,Negative,False
ORD-33550,Everything was delivered ahead of schedule. I love the product! It exceeded my expectations.,8,"[0.0, 0.625, 0.0]","['Neutral', 'Positive', 'Neutral']","['delivered ahead', 'ahead schedule', 'delivered', 'schedule', 'expectations']",Other,0.625,Positive,False
ORD-16902,"Nothing stood out, but nothing was particularly bad either.",5,[-0.6999999999999998],['Negative'],"['stood particularly', 'particularly bad', 'bad', 'stood', 'particularly']",Other,-0.6999999999999998,Negative,False
ORD-13943,Everything was delivered ahead of schedule. Very satisfied with the quality and support. Everything was delivered ahead of schedule.,10,"[0.0, 0.65, 0.0]","['Neutral', 'Positive', 'Neutral']","['delivered ahead', 'ahead schedule', 'schedule satisfied', 'support delivered', 'delivered']",Other,0.65,Positive,False
ORD-13379,Customer service was excellent and very responsive.,9,[0.6],['Positive'],"['service excellent', 'customer service', 'excellent responsive', 'customer', 'service']",Support Experience,0.6,Positive,False
ORD-14462,I won't be purchasing again. Very dissatisfied. It didn't meet my needs. Customer service was unhelpful. I won't be purchasing again.,3,"[0.0, 0.2, 0.0, 0.0, 0.0]","['Neutral', 'Positive', 'Neutral', 'Neutral', 'Neutral']","['purchasing dissatisfied', 'needs customer', 'customer', 'dissatisfied', 'customer service']",Support Experience,0.2,Positive,True
ORD-14947,Very satisfied with the quality and support. Customer service was excellent and very responsive.,8,"[0.65, 0.6]","['Positive', 'Positive']","['quality support', 'satisfied quality', 'service excellent', 'quality', 'excellent responsive']",Product Quality,0.6166666666666666,Positive,False
ORD-21105,Customer service was excellent and very responsive.,8,[0.6],['Positive'],"['service excellent', 'customer service', 'excellent responsive', 'customer', 'service']",Support Experience,0.6,Positive,False
ORD-63854,"Delivery was on time, but packaging could be better. The product was okay, nothing special. Delivery was on time, but packaging could be better. The product was okay, nothing special.",5,"[0.5, 0.4285714285714286, 0.5, 0.4285714285714286]","['Positive', 'Positive', 'Positive', 'Positive']","['packaging better', 'delivery time', 'time packaging', 'packaging', 'special delivery']",Other,0.4523809523809524,Positive,True
ORD-40350,I had a fantastic experience. Will definitely return. I love the product! It exceeded my expectations.,9,"[0.4, 0.0, 0.625, 0.0]","['Positive', 'Neutral', 'Positive', 'Neutral']","['definitely return', 'fantastic experience', 'return', 'experience definitely', 'return love']",Other,0.3416666666666666,Positive,False
ORD-69781,Very satisfied with the quality and support.,8,[0.65],['Positive'],"['satisfied quality', 'quality support', 'quality', 'satisfied', 'support']",Product Quality,0.65,Positive,False
ORD-58519,"Nothing stood out, but nothing was particularly bad either. The experience was average.",7,"[-0.6999999999999998, -0.15]","['Negative', 'Negative']","['experience average', 'bad experience', 'experience', 'average', 'stood particularly']",Other,-0.42499999999999993,Negative,True
ORD-60496,Very satisfied with the quality and support.,9,[0.65],['Positive'],"['satisfied quality', 'quality support', 'quality', 'satisfied', 'support']",Product Quality,0.65,Positive,False
ORD-22608,Very dissatisfied. It didn't meet my needs. I won't be purchasing again. I'm disappointed with the product quality. Very dissatisfied. It didn't meet my needs.,3,"[0.2, 0.0, 0.0, -0.75, 0.2, 0.0]","['Positive', 'Neutral', 'Neutral', 'Negative', 'Positive', 'Neutral']","['quality dissatisfied', 'dissatisfied', 'product quality', 'dissatisfied didn', 'quality']",Product Quality,-0.11666666666666668,Negative,False
ORD-59632,Customer service was excellent and very responsive. I love the product! It exceeded my expectations. I love the product! It exceeded my expectations. Very satisfied with the quality and support.,8,"[0.6, 0.625, 0.0, 0.625, 0.0, 0.65]","['Positive', 'Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']","['customer service', 'quality support', 'excellent responsive', 'service excellent', 'customer']",Support Experience,0.62,Positive,False
ORD-08254,The order arrived late and was damaged. The order arrived late and was damaged.,2,"[-0.3, -0.3]","['Negative', 'Negative']","['damaged order', 'order arrived', 'late damaged', 'order', 'arrived late']",Other,-0.3,Negative,False
ORD-97903,I had a fantastic experience. Will definitely return. Customer service was excellent and very responsive. Everything was delivered ahead of schedule. Customer service was excellent and very responsive.,9,"[0.4, 0.0, 0.6, 0.0, 0.6]","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']","['return customer', 'responsive delivered', 'definitely return', 'service excellent', 'customer service']",Support Experience,0.4666666666666666,Positive,False
ORD-20736,"The product was okay, nothing special. The product was okay, nothing special. It works as described, but I expected more features. It works as described, but I expected more features.",6,"[0.4285714285714286, 0.4285714285714286, 0.2, 0.2]","['Positive', 'Positive', 'Positive', 'Positive']","['features works', 'product okay', 'special product', 'features', 'expected features']",Other,0.3142857142857143,Positive,False
ORD-00901,Everything was delivered ahead of schedule.,10,[0.0],['Neutral'],"['ahead schedule', 'delivered ahead', 'schedule', 'delivered', 'ahead']",Other,0.0,Neutral,False
ORD-00997,Everything was delivered ahead of schedule. I had a fantastic experience. Will definitely return. I love the product! It exceeded my expectations.,9,"[0.0, 0.4, 0.0, 0.625, 0.0]","['Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']","['delivered ahead', 'ahead schedule', 'delivered', 'schedule fantastic', 'definitely return']",Other,0.3416666666666666,Positive,False
ORD-12193,"The product was okay, nothing special. It works as described, but I expected more features. It works as described, but I expected more features.",5,"[0.4285714285714286, 0.2, 0.2]","['Positive', 'Positive', 'Positive']","['features works', 'features', 'product okay', 'expected features', 'works described']",Other,0.27619047619047615,Positive,True
ORD-83376,Everything was delivered ahead of schedule.,9,[0.0],['Neutral'],"['ahead schedule', 'delivered ahead', 'schedule', 'delivered', 'ahead']",Other,0.0,Neutral,False
ORD-04597,Very dissatisfied. It didn't meet my needs. I won't be purchasing again. Very dissatisfied. It didn't meet my needs.,1,"[0.2, 0.0, 0.0, 0.2, 0.0]","['Positive', 'Neutral', 'Neutral', 'Positive', 'Neutral']","['dissatisfied', 'dissatisfied didn', 'purchasing dissatisfied', 'purchasing', 'won purchasing']",Other,0.2,Positive,True
ORD-28167,I love the product! It exceeded my expectations.,9,"[0.625, 0.0]","['Positive', 'Neutral']","['love product', 'product', 'product exceeded', 'exceeded expectations', 'love']",Other,0.625,Positive,False
ORD-50397,Everything was delivered ahead of schedule. I love the product! It exceeded my expectations. Very satisfied with the quality and support. I had a fantastic experience. Will definitely return.,9,"[0.0, 0.625, 0.0, 0.65, 0.4, 0.0]","['Neutral', 'Positive', 'Neutral', 'Positive', 'Positive', 'Neutral']","['delivered ahead', 'ahead schedule', 'expectations satisfied', 'delivered', 'schedule']",Other,0.41874999999999996,Positive,False
ORD-17500,I love the product! It exceeded my expectations.,9,"[0.625, 0.0]","['Positive', 'Neutral']","['love product', 'product', 'product exceeded', 'exceeded expectations', 'love']",Other,0.625,Positive,False
ORD-08375,Everything was delivered ahead of schedule. Everything was delivered ahead of schedule. I had a fantastic experience. Will definitely return. Very satisfied with the quality and support.,8,"[0.0, 0.0, 0.4, 0.0, 0.65]","['Neutral', 'Neutral', 'Positive', 'Neutral', 'Positive']","['schedule delivered', 'delivered ahead', 'ahead schedule', 'delivered', 'schedule']",Other,0.35000000000000003,Positive,False
ORD-55967,Very satisfied with the quality and support. Very satisfied with the quality and support. Very satisfied with the quality and support.,10,"[0.65, 0.65, 0.65]","['Positive', 'Positive', 'Positive']","['satisfied quality', 'support satisfied', 'quality support', 'satisfied', 'quality']",Product Quality,0.65,Positive,False
ORD-00323,I'm disappointed with the product quality. I won't be purchasing again. Customer service was unhelpful. Customer service was unhelpful.,2,"[-0.75, 0.0, 0.0, 0.0]","['Negative', 'Neutral', 'Neutral', 'Neutral']","['product quality', 'disappointed product', 'quality', 'quality won', 'unhelpful customer']",Product Quality,-0.75,Negative,False
ORD-40542,I love the product! It exceeded my expectations. Customer service was excellent and very responsive. Everything was delivered ahead of schedule.,9,"[0.625, 0.0, 0.6, 0.0]","['Positive', 'Neutral', 'Positive', 'Neutral']","['excellent responsive', 'service excellent', 'love product', 'responsive delivered', 'expectations customer']",Other,0.6083333333333333,Positive,False
ORD-83961,"Nothing stood out, but nothing was particularly bad either.",4,[-0.6999999999999998],['Negative'],"['stood particularly', 'particularly bad', 'bad', 'stood', 'particularly']",Other,-0.6999999999999998,Negative,False
ORD-92236,"It works as described, but I expected more features. Nothing stood out, but nothing was particularly bad either.",7,"[0.2, -0.6999999999999998]","['Positive', 'Negative']","['works described', 'features', 'bad', 'features stood', 'expected features']",Other,-0.09999999999999994,Neutral,False
ORD-62915,Customer service was excellent and very responsive.,10,[0.6],['Positive'],"['service excellent', 'customer service', 'excellent responsive', 'customer', 'service']",Support Experience,0.6,Positive,False
ORD-90355,"It works as described, but I expected more features.",7,[0.2],['Positive'],"['features', 'works described', 'expected features', 'works', 'described']",Other,0.2,Positive,False
ORD-37062,"The product was okay, nothing special.",5,[0.4285714285714286],['Positive'],"['product okay', 'special', 'product', 'okay special', 'okay']",Other,0.4285714285714286,Positive,True
ORD-55687,Customer service was unhelpful.,2,[0.0],['Neutral'],"['service unhelpful', 'unhelpful', 'customer service', 'customer', 'service']",Support Experience,0.0,Neutral,False
ORD-92949,I love the product! It exceeded my expectations. I love the product! It exceeded my expectations. Customer service was excellent and very responsive. Everything was delivered ahead of schedule.,9,"[0.625, 0.0, 0.625, 0.0, 0.6, 0.0]","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']","['excellent responsive', 'service excellent', 'responsive delivered', 'love product', 'expectations customer']",Other,0.6125,Positive,False
ORD-52422,Very dissatisfied. It didn't meet my needs. Customer service was unhelpful. Very dissatisfied. It didn't meet my needs.,1,"[0.2, 0.0, 0.0, 0.2, 0.0]","['Positive', 'Neutral', 'Neutral', 'Positive', 'Neutral']","['dissatisfied', 'dissatisfied didn', 'unhelpful dissatisfied', 'customer service', 'needs customer']",Support Experience,0.2,Positive,True
ORD-80184,Very satisfied with the quality and support. Very satisfied with the quality and support. I had a fantastic experience. Will definitely return.,10,"[0.65, 0.65, 0.4, 0.0]","['Positive', 'Positive', 'Positive', 'Neutral']","['quality support', 'support satisfied', 'satisfied quality', 'quality', 'satisfied']",Product Quality,0.42500000000000004,Positive,False
ORD-48854,"Nothing stood out, but nothing was particularly bad either. Delivery was on time, but packaging could be better. Delivery was on time, but packaging could be better. Delivery was on time, but packaging could be better.",5,"[-0.6999999999999998, 0.5, 0.5, 0.5]","['Negative', 'Positive', 'Positive', 'Positive']","['packaging better', 'packaging', 'bad delivery', 'time packaging', 'delivery time']",Other,0.20000000000000004,Positive,True
ORD-28087,I had a fantastic experience. Will definitely return.,9,"[0.4, 0.0]","['Positive', 'Neutral']","['definitely return', 'fantastic experience', 'return', 'experience definitely', 'experience']",Other,0.2,Positive,False
ORD-66258,I had a fantastic experience. Will definitely return. I had a fantastic experience. Will definitely return. Very satisfied with the quality and support.,10,"[0.4, 0.0, 0.4, 0.0, 0.65]","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']","['definitely return', 'return satisfied', 'return', 'quality support', 'fantastic experience']",Other,0.29000000000000004,Positive,False
ORD-51582,Everything was delivered ahead of schedule. Everything was delivered ahead of schedule.,10,"[0.0, 0.0]","['Neutral', 'Neutral']","['schedule delivered', 'delivered ahead', 'ahead schedule', 'delivered', 'schedule']",Other,0.0,Neutral,False
ORD-08460,"Nothing stood out, but nothing was particularly bad either.",4,[-0.6999999999999998],['Negative'],"['stood particularly', 'particularly bad', 'bad', 'stood', 'particularly']",Other,-0.6999999999999998,Negative,False
ORD-06524,Very satisfied with the quality and support. Very satisfied with the quality and support. Customer service was excellent and very responsive. I had a fantastic experience. Will definitely return.,9,"[0.65, 0.65, 0.6, 0.4, 0.0]","['Positive', 'Positive', 'Positive', 'Positive', 'Neutral']","['quality support', 'satisfied quality', 'support satisfied', 'quality', 'satisfied']",Product Quality,0.48333333333333334,Positive,False
ORD-49604,Very satisfied with the quality and support. Very satisfied with the quality and support.,9,"[0.65, 0.65]","['Positive', 'Positive']","['satisfied quality', 'support satisfied', 'quality support', 'satisfied', 'quality']",Product Quality,0.65,Positive,False
ORD-38890,Everything was delivered ahead of schedule. Very satisfied with the quality and support. Everything was delivered ahead of schedule. Very satisfied with the quality and support.,9,"[0.0, 0.65, 0.0, 0.65]","['Neutral', 'Positive', 'Neutral', 'Positive']","['delivered ahead', 'schedule satisfied', 'ahead schedule', 'support delivered', 'delivered']",Other,0.65,Positive,False
ORD-35037,Very satisfied with the quality and support.,9,[0.65],['Positive'],"['satisfied quality', 'quality support', 'quality', 'satisfied', 'support']",Product Quality,0.65,Positive,False
ORD-45736,Customer service was unhelpful. Very dissatisfied. It didn't meet my needs. I won't be purchasing again.,2,"[0.0, 0.2, 0.0, 0.0]","['Neutral', 'Positive', 'Neutral', 'Neutral']","['customer service', 'customer', 'service unhelpful', 'unhelpful dissatisfied', 'service']",Support Experience,0.2,Positive,True
ORD-08035,I had a fantastic experience. Will definitely return. Customer service was excellent and very responsive. Very satisfied with the quality and support.,8,"[0.4, 0.0, 0.6, 0.65]","['Positive', 'Neutral', 'Positive', 'Positive']","['return customer', 'quality support', 'responsive satisfied', 'excellent responsive', 'service excellent']",Other,0.45,Positive,False
ORD-04461,Customer service was excellent and very responsive. Very satisfied with the quality and support. Customer service was excellent and very responsive. I love the product! It exceeded my expectations.,9,"[0.6, 0.65, 0.6, 0.625, 0.0]","['Positive', 'Positive', 'Positive', 'Positive', 'Neutral']","['customer service', 'support customer', 'service excellent', 'quality support', 'responsive satisfied']",Support Experience,0.6125,Positive,False
ORD-44042,I had a fantastic experience. Will definitely return.,10,"[0.4, 0.0]","['Positive', 'Neutral']","['definitely return', 'fantastic experience', 'return', 'experience definitely', 'experience']",Other,0.2,Positive,False
ORD-51014,I love the product! It exceeded my expectations. I love the product! It exceeded my expectations. I had a fantastic experience. Will definitely return.,8,"[0.625, 0.0, 0.625, 0.0, 0.4, 0.0]","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']","['love product', 'definitely return', 'fantastic experience', 'expectations fantastic', 'return']",Other,0.4125,Positive,False
ORD-56725,Everything was delivered ahead of schedule. I love the product! It exceeded my expectations. I had a fantastic experience. Will definitely return.,10,"[0.0, 0.625, 0.0, 0.4, 0.0]","['Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']","['delivered ahead', 'ahead schedule', 'delivered', 'expectations fantastic', 'schedule']",Other,0.3416666666666666,Positive,False
ORD-84899,Everything was delivered ahead of schedule. Very satisfied with the quality and support. I had a fantastic experience. Will definitely return. I love the product! It exceeded my expectations.,9,"[0.0, 0.65, 0.4, 0.0, 0.625, 0.0]","['Neutral', 'Positive', 'Positive', 'Neutral', 'Positive', 'Neutral']","['schedule satisfied', 'delivered ahead', 'ahead schedule', 'delivered', 'schedule']",Other,0.41875,Positive,False
ORD-98457,"It works as described, but I expected more features.",5,[0.2],['Positive'],"['features', 'works described', 'expected features', 'works', 'described']",Other,0.2,Positive,True
ORD-60946,Very satisfied with the quality and support. I love the product! It exceeded my expectations. Customer service was excellent and very responsive. Everything was delivered ahead of schedule.,8,"[0.65, 0.625, 0.0, 0.6, 0.0]","['Positive', 'Positive', 'Neutral', 'Positive', 'Neutral']","['quality support', 'satisfied quality', 'quality', 'service excellent', 'excellent responsive']",Product Quality,0.61875,Positive,False
ORD-66205,Very satisfied with the quality and support. I had a fantastic experience. Will definitely return. Everything was delivered ahead of schedule. Customer service was excellent and very responsive.,9,"[0.65, 0.4, 0.0, 0.0, 0.6]","['Positive', 'Positive', 'Neutral', 'Neutral', 'Positive']","['quality support', 'satisfied quality', 'service excellent', 'quality', 'support fantastic']",Product Quality,0.45,Positive,False
ORD-20837,Everything was delivered ahead of schedule.,9,[0.0],['Neutral'],"['ahead schedule', 'delivered ahead', 'schedule', 'delivered', 'ahead']",Other,0.0,Neutral,False
ORD-92208,"It works as described, but I expected more features. Delivery was on time, but packaging could be better.",5,"[0.2, 0.5]","['Positive', 'Positive']","['features delivery', 'packaging better', 'packaging', 'delivery', 'time packaging']",Other,0.3,Positive,True
ORD-87145,I had a fantastic experience. Will definitely return. Customer service was excellent and very responsive.,8,"[0.4, 0.0, 0.6]","['Positive', 'Neutral', 'Positive']","['return customer', 'definitely return', 'excellent responsive', 'service excellent', 'fantastic experience']",Other,0.39999999999999997,Positive,False
ORD-29784,Everything was delivered ahead of schedule. Customer service was excellent and very responsive.,10,"[0.0, 0.6]","['Neutral', 'Positive']","['delivered ahead', 'ahead schedule', 'schedule customer', 'delivered', 'service excellent']",Other,0.6,Positive,False
ORD-44303,I had a fantastic experience. Will definitely return.,10,"[0.4, 0.0]","['Positive', 'Neutral']","['definitely return', 'fantastic experience', 'return', 'experience definitely', 'experience']",Other,0.2,Positive,False
ORD-87686,I'm disappointed with the product quality. I'm disappointed with the product quality. I won't be purchasing again.,2,"[-0.75, -0.75, 0.0]","['Negative', 'Negative', 'Neutral']","['quality disappointed', 'product quality', 'disappointed product', 'quality', 'quality won']",Product Quality,-0.75,Negative,False
ORD-81941,I love the product! It exceeded my expectations. Customer service was excellent and very responsive. I had a fantastic experience. Will definitely return. I love the product! It exceeded my expectations.,10,"[0.625, 0.0, 0.6, 0.4, 0.0, 0.625, 0.0]","['Positive', 'Neutral', 'Positive', 'Positive', 'Neutral', 'Positive', 'Neutral']","['excellent responsive', 'responsive fantastic', 'service excellent', 'responsive', 'love product']",Other,0.47500000000000003,Positive,False
ORD-16865,"It works as described, but I expected more features. The product was okay, nothing special. Delivery was on time, but packaging could be better.",5,"[0.2, 0.4285714285714286, 0.5]","['Positive', 'Positive', 'Positive']","['features product', 'packaging better', 'works described', 'special delivery', 'product okay']",Other,0.3514285714285714,Positive,True
ORD-29965,"It works as described, but I expected more features.",4,[0.2],['Positive'],"['features', 'works described', 'expected features', 'works', 'described']",Other,0.2,Positive,True
ORD-65129,"The experience was average. Delivery was on time, but packaging could be better. The product was okay, nothing special.",7,"[-0.15, 0.5, 0.4285714285714286]","['Negative', 'Positive', 'Positive']","['average delivery', 'packaging better', 'packaging', 'delivery time', 'time packaging']",Other,0.30178571428571427,Positive,False
ORD-49817,"The product was okay, nothing special.",4,[0.4285714285714286],['Positive'],"['product okay', 'special', 'product', 'okay special', 'okay']",Other,0.4285714285714286,Positive,True
ORD-06196,"The experience was average. It works as described, but I expected more features. Nothing stood out, but nothing was particularly bad either.",6,"[-0.15, 0.2, -0.6999999999999998]","['Negative', 'Positive', 'Negative']","['experience average', 'experience', 'average works', 'expected features', 'average']",Other,-0.11249999999999996,Negative,True
ORD-11036,I'm disappointed with the product quality. I'm disappointed with the product quality.,2,"[-0.75, -0.75]","['Negative', 'Negative']","['quality disappointed', 'product quality', 'disappointed product', 'quality', 'disappointed']",Product Quality,-0.75,Negative,False
ORD-34901,I had a fantastic experience. Will definitely return. Very satisfied with the quality and support. I had a fantastic experience. Will definitely return. I love the product! It exceeded my expectations.,9,"[0.4, 0.0, 0.65, 0.4, 0.0, 0.625, 0.0]","['Positive', 'Neutral', 'Positive', 'Positive', 'Neutral', 'Positive', 'Neutral']","['return satisfied', 'definitely return', 'return', 'quality support', 'return love']",Other,0.3458333333333334,Positive,False
ORD-82461,"It works as described, but I expected more features. Nothing stood out, but nothing was particularly bad either.",6,"[0.2, -0.6999999999999998]","['Positive', 'Negative']","['works described', 'features', 'bad', 'features stood', 'expected features']",Other,-0.09999999999999994,Neutral,False
ORD-01203,I love the product! It exceeded my expectations. Very satisfied with the quality and support. Customer service was excellent and very responsive.,9,"[0.625, 0.0, 0.65, 0.6]","['Positive', 'Neutral', 'Positive', 'Positive']","['excellent responsive', 'quality support', 'service excellent', 'satisfied quality', 'love product']",Other,0.61875,Positive,False
ORD-54401,Everything was delivered ahead of schedule. I had a fantastic experience. Will definitely return.,10,"[0.0, 0.4, 0.0]","['Neutral', 'Positive', 'Neutral']","['definitely return', 'delivered ahead', 'delivered', 'schedule fantastic', 'fantastic experience']",Other,0.2,Positive,False
ORD-94794,Very dissatisfied. It didn't meet my needs.,1,"[0.2, 0.0]","['Positive', 'Neutral']","['dissatisfied didn', 'dissatisfied', 'meet needs', 'needs', 'didn']",Other,0.2,Positive,True
