order_number,feedback,score,sentence_sentiments,sentiment_classifications,keywords,categorized_feedback,overall_sentiment,sentiment_classification,mismatch
ORD-41301,I love the product! It exceeded my expectations. I love the product! It exceeded my expectations. Everything was delivered ahead of schedule.,9,"[0.625, 0.0, 0.625, 0.0, 0.0]","['Positive', 'Neutral', 'Positive', 'Neutral', 'Neutral']","['love product', 'expectations delivered', 'delivered ahead', 'product', 'expectations love']",Other,0.625,Positive,False
ORD-39717,"Nothing stood out, but nothing was particularly bad either. Nothing stood out, but nothing was particularly bad either.",7,"[-0.6999999999999998, -0.6999999999999998]","['Negative', 'Negative']","['bad stood', 'stood particularly', 'stood', 'particularly bad', 'bad']",Other,-0.6999999999999998,Negative,True
ORD-62543,"The product was okay, nothing special. Nothing stood out, but nothing was particularly bad either. The product was okay, nothing special.",7,"[0.4285714285714286, -0.6999999999999998, 0.4285714285714286]","['Positive', 'Negative', 'Positive']","['bad product', 'product okay', 'product', 'special stood', 'special']",Other,0.2028571428571429,Positive,False
ORD-45955,Very satisfied with the quality and support. Everything was delivered ahead of schedule. I love the product! It exceeded my expectations. I had a fantastic experience. Will definitely return.,8,"[0.65, 0.0, 0.625, 0.0, 0.4, 0.0]","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']","['quality support', 'satisfied quality', 'support delivered', 'quality', 'satisfied']",Product Quality,0.41874999999999996,Positive,False
ORD-07034,I love the product! It exceeded my expectations.,8,"[0.625, 0.0]","['Positive', 'Neutral']","['love product', 'product', 'product exceeded', 'exceeded expectations', 'love']",Other,0.625,Positive,False
ORD-57935,I won't be purchasing again. I'm disappointed with the product quality. The order arrived late and was damaged. The order arrived late and was damaged.,2,"[0.0, -0.75, -0.3, -0.3]","['Neutral', 'Negative', 'Negative', 'Negative']","['product quality', 'quality', 'quality order', 'disappointed product', 'damaged']",Product Quality,-0.45,Negative,False
ORD-17316,I'm disappointed with the product quality. I'm disappointed with the product quality. Customer service was unhelpful.,3,"[-0.75, -0.75, 0.0]","['Negative', 'Negative', 'Neutral']","['quality disappointed', 'product quality', 'disappointed product', 'quality customer', 'quality']",Product Quality,-0.75,Negative,False
ORD-86172,I love the product! It exceeded my expectations. I had a fantastic experience. Will definitely return. I love the product! It exceeded my expectations.,8,"[0.625, 0.0, 0.4, 0.0, 0.625, 0.0]","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']","['love product', 'fantastic experience', 'definitely return', 'expectations fantastic', 'experience definitely']",Other,0.4125,Positive,False
ORD-36376,Customer service was excellent and very responsive. Customer service was excellent and very responsive. Customer service was excellent and very responsive. Everything was delivered ahead of schedule.,9,"[0.6, 0.6, 0.6, 0.0]","['Positive', 'Positive', 'Positive', 'Neutral']","['service excellent', 'customer service', 'responsive customer', 'customer', 'responsive delivered']",Support Experience,0.6000000000000001,Positive,False
ORD-03518,Everything was delivered ahead of schedule. Everything was delivered ahead of schedule. Everything was delivered ahead of schedule. Everything was delivered ahead of schedule.,10,"[0.0, 0.0, 0.0, 0.0]","['Neutral', 'Neutral', 'Neutral', 'Neutral']","['schedule delivered', 'delivered ahead', 'ahead schedule', 'delivered', 'schedule']",Other,0.0,Neutral,False
ORD-92019,"The product was okay, nothing special.",4,[0.4285714285714286],['Positive'],"['product okay', 'special', 'product', 'okay special', 'okay']",Other,0.4285714285714286,Positive,True
ORD-17470,I love the product! It exceeded my expectations.,10,"[0.625, 0.0]","['Positive', 'Neutral']","['love product', 'product', 'product exceeded', 'exceeded expectations', 'love']",Other,0.625,Positive,False
ORD-77539,Everything was delivered ahead of schedule. Everything was delivered ahead of schedule. Everything was delivered ahead of schedule.,10,"[0.0, 0.0, 0.0]","['Neutral', 'Neutral', 'Neutral']","['schedule delivered', 'delivered ahead', 'ahead schedule', 'delivered', 'schedule']",Other,0.0,Neutral,False
ORD-65029,I love the product! It exceeded my expectations.,9,"[0.625, 0.0]","['Positive', 'Neutral']","['love product', 'product', 'product exceeded', 'exceeded expectations', 'love']",Other,0.625,Positive,False
ORD-87640,"Nothing stood out, but nothing was particularly bad either. Delivery was on time, but packaging could be better.",5,"[-0.6999999999999998, 0.5]","['Negative', 'Positive']","['packaging better', 'bad delivery', 'packaging', 'time packaging', 'delivery time']",Other,-0.09999999999999992,Neutral,False
ORD-75001,Very satisfied with the quality and support.,10,[0.65],['Positive'],"['satisfied quality', 'quality support', 'quality', 'satisfied', 'support']",Product Quality,0.65,Positive,False
ORD-60208,"Nothing stood out, but nothing was particularly bad either. It works as described, but I expected more features. It works as described, but I expected more features. Delivery was on time, but packaging could be better.",4,"[-0.6999999999999998, 0.2, 0.2, 0.5]","['Negative', 'Positive', 'Positive', 'Positive']","['features delivery', 'packaging better', 'features works', 'packaging', 'time packaging']",Other,0.10000000000000003,Positive,True
ORD-13251,I love the product! It exceeded my expectations. Everything was delivered ahead of schedule.,9,"[0.625, 0.0, 0.0]","['Positive', 'Neutral', 'Neutral']","['love product', 'expectations delivered', 'delivered ahead', 'ahead schedule', 'delivered']",Other,0.625,Positive,False
ORD-85826,Customer service was excellent and very responsive. Everything was delivered ahead of schedule.,8,"[0.6, 0.0]","['Positive', 'Neutral']","['service excellent', 'customer service', 'responsive delivered', 'customer', 'excellent responsive']",Support Experience,0.6,Positive,False
ORD-87746,"Delivery was on time, but packaging could be better. Delivery was on time, but packaging could be better. Delivery was on time, but packaging could be better.",4,"[0.5, 0.5, 0.5]","['Positive', 'Positive', 'Positive']","['delivery time', 'packaging better', 'time packaging', 'better delivery', 'packaging']",Other,0.5,Positive,True
ORD-55260,"Delivery was on time, but packaging could be better. The product was okay, nothing special. The experience was average.",4,"[0.5, 0.4285714285714286, -0.15]","['Positive', 'Positive', 'Negative']","['packaging better', 'delivery time', 'packaging', 'delivery', 'time packaging']",Other,0.3017857142857143,Positive,True
ORD-90093,"The product was okay, nothing special.",7,[0.4285714285714286],['Positive'],"['product okay', 'special', 'product', 'okay special', 'okay']",Other,0.4285714285714286,Positive,False
ORD-53363,I love the product! It exceeded my expectations.,10,"[0.625, 0.0]","['Positive', 'Neutral']","['love product', 'product', 'product exceeded', 'exceeded expectations', 'love']",Other,0.625,Positive,False
ORD-62189,I had a fantastic experience. Will definitely return. I love the product! It exceeded my expectations.,8,"[0.4, 0.0, 0.625, 0.0]","['Positive', 'Neutral', 'Positive', 'Neutral']","['definitely return', 'fantastic experience', 'return', 'experience definitely', 'return love']",Other,0.3416666666666666,Positive,False
ORD-15941,Customer service was unhelpful. The order arrived late and was damaged. Very dissatisfied. It didn't meet my needs. Very dissatisfied. It didn't meet my needs.,3,"[0.0, -0.3, 0.2, 0.0, 0.2, 0.0]","['Neutral', 'Negative', 'Positive', 'Neutral', 'Positive', 'Neutral']","['customer service', 'customer', 'order arrived', 'service unhelpful', 'damaged dissatisfied']",Support Experience,0.03333333333333335,Neutral,False
ORD-87981,Very satisfied with the quality and support. Everything was delivered ahead of schedule.,9,"[0.65, 0.0]","['Positive', 'Neutral']","['support delivered', 'satisfied quality', 'quality support', 'satisfied', 'delivered ahead']",Other,0.65,Positive,False
ORD-68673,"Delivery was on time, but packaging could be better. It works as described, but I expected more features. Delivery was on time, but packaging could be better. Nothing stood out, but nothing was particularly bad either.",7,"[0.5, 0.2, 0.5, -0.6999999999999998]","['Positive', 'Positive', 'Positive', 'Negative']","['packaging better', 'delivery time', 'packaging', 'time packaging', 'delivery']",Other,0.14,Positive,False
ORD-68588,I had a fantastic experience. Will definitely return. Very satisfied with the quality and support. I love the product! It exceeded my expectations.,8,"[0.4, 0.0, 0.65, 0.625, 0.0]","['Positive', 'Neutral', 'Positive', 'Positive', 'Neutral']","['return satisfied', 'definitely return', 'quality support', 'return', 'satisfied quality']",Other,0.41875,Positive,False
ORD-90473,I had a fantastic experience. Will definitely return. Customer service was excellent and very responsive. Customer service was excellent and very responsive.,10,"[0.4, 0.0, 0.6, 0.6]","['Positive', 'Neutral', 'Positive', 'Positive']","['return customer', 'definitely return', 'service excellent', 'responsive customer', 'excellent responsive']",Other,0.4666666666666666,Positive,False
ORD-07152,"The experience was average. The product was okay, nothing special. Nothing stood out, but nothing was particularly bad either.",5,"[-0.15, 0.4285714285714286, -0.6999999999999998]","['Negative', 'Positive', 'Negative']","['experience average', 'experience', 'average product', 'average', 'product okay']",Other,0.0017857142857143071,Neutral,False
ORD-85456,I'm disappointed with the product quality.,1,[-0.75],['Negative'],"['disappointed product', 'product quality', 'quality', 'disappointed', 'product']",Product Quality,-0.75,Negative,False
ORD-47612,"Nothing stood out, but nothing was particularly bad either. Nothing stood out, but nothing was particularly bad either.",5,"[-0.6999999999999998, -0.6999999999999998]","['Negative', 'Negative']","['bad stood', 'stood particularly', 'stood', 'particularly bad', 'bad']",Other,-0.6999999999999998,Negative,False
ORD-37941,Everything was delivered ahead of schedule. Very satisfied with the quality and support.,8,"[0.0, 0.65]","['Neutral', 'Positive']","['delivered ahead', 'schedule satisfied', 'ahead schedule', 'delivered', 'quality support']",Other,0.65,Positive,False
ORD-46627,Customer service was unhelpful. I won't be purchasing again. Very dissatisfied. It didn't meet my needs.,3,"[0.0, 0.0, 0.2, 0.0]","['Neutral', 'Neutral', 'Positive', 'Neutral']","['customer service', 'customer', 'purchasing dissatisfied', 'service unhelpful', 'service']",Support Experience,0.2,Positive,True
ORD-79843,"Nothing stood out, but nothing was particularly bad either.",4,[-0.6999999999999998],['Negative'],"['stood particularly', 'particularly bad', 'bad', 'stood', 'particularly']",Other,-0.6999999999999998,Negative,False
ORD-08074,"The product was okay, nothing special.",4,[0.4285714285714286],['Positive'],"['product okay', 'special', 'product', 'okay special', 'okay']",Other,0.4285714285714286,Positive,True
ORD-51408,"Delivery was on time, but packaging could be better. Nothing stood out, but nothing was particularly bad either. It works as described, but I expected more features.",4,"[0.5, -0.6999999999999998, 0.2]","['Positive', 'Negative', 'Positive']","['packaging better', 'packaging', 'delivery', 'delivery time', 'time packaging']",Other,0.050000000000000044,Neutral,False
ORD-77478,Very satisfied with the quality and support. I love the product! It exceeded my expectations.,9,"[0.65, 0.625, 0.0]","['Positive', 'Positive', 'Neutral']","['quality support', 'satisfied quality', 'quality', 'satisfied', 'support']",Product Quality,0.6375,Positive,False
ORD-65791,I love the product! It exceeded my expectations. Everything was delivered ahead of schedule.,10,"[0.625, 0.0, 0.0]","['Positive', 'Neutral', 'Neutral']","['love product', 'expectations delivered', 'delivered ahead', 'ahead schedule', 'delivered']",Other,0.625,Positive,False
ORD-05772,"It works as described, but I expected more features. Nothing stood out, but nothing was particularly bad either.",4,"[0.2, -0.6999999999999998]","['Positive', 'Negative']","['works described', 'features', 'bad', 'features stood', 'expected features']",Other,-0.09999999999999994,Neutral,False
ORD-94586,Customer service was unhelpful. I'm disappointed with the product quality. I'm disappointed with the product quality.,2,"[0.0, -0.75, -0.75]","['Neutral', 'Negative', 'Negative']","['product quality', 'quality disappointed', 'disappointed product', 'quality', 'customer service']",Product Quality,-0.75,Negative,False
ORD-80316,Customer service was excellent and very responsive.,9,[0.6],['Positive'],"['service excellent', 'customer service', 'excellent responsive', 'customer', 'service']",Support Experience,0.6,Positive,False
ORD-81665,I'm disappointed with the product quality. The order arrived late and was damaged.,1,"[-0.75, -0.3]","['Negative', 'Negative']","['product quality', 'quality', 'quality order', 'disappointed product', 'order arrived']",Product Quality,-0.525,Negative,False
ORD-63220,I love the product! It exceeded my expectations.,10,"[0.625, 0.0]","['Positive', 'Neutral']","['love product', 'product', 'product exceeded', 'exceeded expectations', 'love']",Other,0.625,Positive,False
ORD-25580,"Nothing stood out, but nothing was particularly bad either. It works as described, but I expected more features.",6,"[-0.6999999999999998, 0.2]","['Negative', 'Positive']","['bad works', 'bad', 'features', 'expected features', 'described expected']",Other,-0.09999999999999994,Neutral,False
ORD-84720,"It works as described, but I expected more features.",6,[0.2],['Positive'],"['features', 'works described', 'expected features', 'works', 'described']",Other,0.2,Positive,False
ORD-82142,Everything was delivered ahead of schedule.,10,[0.0],['Neutral'],"['ahead schedule', 'delivered ahead', 'schedule', 'delivered', 'ahead']",Other,0.0,Neutral,False
ORD-81123,"It works as described, but I expected more features. It works as described, but I expected more features. The product was okay, nothing special.",7,"[0.2, 0.2, 0.4285714285714286]","['Positive', 'Positive', 'Positive']","['features works', 'features product', 'features', 'works described', 'expected features']",Other,0.2761904761904762,Positive,False
ORD-89174,Customer service was excellent and very responsive. Customer service was excellent and very responsive. Everything was delivered ahead of schedule. I had a fantastic experience. Will definitely return.,9,"[0.6, 0.6, 0.0, 0.4, 0.0]","['Positive', 'Positive', 'Neutral', 'Positive', 'Neutral']","['service excellent', 'customer service', 'responsive customer', 'responsive delivered', 'customer']",Support Experience,0.46666666666666673,Positive,False
ORD-44961,I love the product! It exceeded my expectations.,9,"[0.625, 0.0]","['Positive', 'Neutral']","['love product', 'product', 'product exceeded', 'exceeded expectations', 'love']",Other,0.625,Positive,False
ORD-63225,Customer service was unhelpful. The order arrived late and was damaged.,1,"[0.0, -0.3]","['Neutral', 'Negative']","['customer service', 'order arrived', 'late damaged', 'customer', 'service unhelpful']",Support Experience,-0.3,Negative,False
ORD-00122,"The product was okay, nothing special. The product was okay, nothing special. The product was okay, nothing special. The experience was average.",6,"[0.4285714285714286, 0.4285714285714286, 0.4285714285714286, -0.15]","['Positive', 'Positive', 'Positive', 'Negative']","['special experience', 'special product', 'product okay', 'experience', 'product']",Other,0.3459183673469388,Positive,False
ORD-00350,The order arrived late and was damaged. I won't be purchasing again. The order arrived late and was damaged.,2,"[-0.3, 0.0, -0.3]","['Negative', 'Neutral', 'Negative']","['order arrived', 'order', 'purchasing order', 'damaged', 'arrived']",Product Quality,-0.3,Negative,False
ORD-00608,"Nothing stood out, but nothing was particularly bad either. It works as described, but I expected more features.",5,"[-0.6999999999999998, 0.2]","['Negative', 'Positive']","['bad works', 'bad', 'features', 'expected features', 'described expected']",Other,-0.09999999999999994,Neutral,False
ORD-01649,I love the product! It exceeded my expectations. Everything was delivered ahead of schedule. I love the product! It exceeded my expectations.,10,"[0.625, 0.0, 0.0, 0.625, 0.0]","['Positive', 'Neutral', 'Neutral', 'Positive', 'Neutral']","['love product', 'expectations delivered', 'delivered ahead', 'product', 'ahead schedule']",Other,0.625,Positive,False
ORD-58731,Customer service was excellent and very responsive.,8,[0.6],['Positive'],"['service excellent', 'customer service', 'excellent responsive', 'customer', 'service']",Support Experience,0.6,Positive,False
ORD-32962,I love the product! It exceeded my expectations.,9,"[0.625, 0.0]","['Positive', 'Neutral']","['love product', 'product', 'product exceeded', 'exceeded expectations', 'love']",Other,0.625,Positive,False
ORD-93793,"The experience was average. Nothing stood out, but nothing was particularly bad either. It works as described, but I expected more features.",4,"[-0.15, -0.6999999999999998, 0.2]","['Negative', 'Negative', 'Positive']","['experience average', 'experience', 'average', 'expected features', 'described expected']",Other,-0.11249999999999996,Negative,False
ORD-62488,"Nothing stood out, but nothing was particularly bad either. It works as described, but I expected more features. Nothing stood out, but nothing was particularly bad either.",7,"[-0.6999999999999998, 0.2, -0.6999999999999998]","['Negative', 'Positive', 'Negative']","['features stood', 'bad works', 'bad', 'expected features', 'features']",Other,-0.24999999999999992,Negative,True
ORD-05786,Customer service was unhelpful. The order arrived late and was damaged.,3,"[0.0, -0.3]","['Neutral', 'Negative']","['customer service', 'order arrived', 'late damaged', 'customer', 'service unhelpful']",Support Experience,-0.3,Negative,False
ORD-42753,I'm disappointed with the product quality. Customer service was unhelpful. The order arrived late and was damaged.,1,"[-0.75, 0.0, -0.3]","['Negative', 'Neutral', 'Negative']","['product quality', 'quality customer', 'quality', 'disappointed product', 'customer']",Product Quality,-0.525,Negative,False
ORD-45088,Customer service was excellent and very responsive. Very satisfied with the quality and support. Very satisfied with the quality and support.,10,"[0.6, 0.65, 0.65]","['Positive', 'Positive', 'Positive']","['quality support', 'customer service', 'service excellent', 'responsive satisfied', 'excellent responsive']",Support Experience,0.625,Positive,False
ORD-08799,Very satisfied with the quality and support. Very satisfied with the quality and support.,9,"[0.65, 0.65]","['Positive', 'Positive']","['satisfied quality', 'support satisfied', 'quality support', 'satisfied', 'quality']",Product Quality,0.65,Positive,False
ORD-42443,"The experience was average. The product was okay, nothing special. The experience was average.",7,"[-0.15, 0.4285714285714286, -0.15]","['Negative', 'Positive', 'Negative']","['experience average', 'experience', 'special experience', 'average product', 'average']",Other,0.13928571428571426,Positive,False
ORD-03526,The order arrived late and was damaged. I won't be purchasing again. The order arrived late and was damaged. I'm disappointed with the product quality.,3,"[-0.3, 0.0, -0.3, -0.75]","['Negative', 'Neutral', 'Negative', 'Negative']","['order arrived', 'quality', 'product quality', 'order', 'damaged']",Product Quality,-0.45,Negative,False
ORD-98623,I had a fantastic experience. Will definitely return. I love the product! It exceeded my expectations. I love the product! It exceeded my expectations. I love the product! It exceeded my expectations.,9,"[0.4, 0.0, 0.625, 0.0, 0.625, 0.0, 0.625, 0.0]","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']","['definitely return', 'return', 'return love', 'fantastic experience', 'product exceeded']",Other,0.45499999999999996,Positive,False
ORD-77836,I had a fantastic experience. Will definitely return. I love the product! It exceeded my expectations.,8,"[0.4, 0.0, 0.625, 0.0]","['Positive', 'Neutral', 'Positive', 'Neutral']","['definitely return', 'fantastic experience', 'return', 'experience definitely', 'return love']",Other,0.3416666666666666,Positive,False
ORD-10747,Very dissatisfied. It didn't meet my needs.,3,"[0.2, 0.0]","['Positive', 'Neutral']","['dissatisfied didn', 'dissatisfied', 'meet needs', 'needs', 'didn']",Other,0.2,Positive,True
ORD-72523,Everything was delivered ahead of schedule. Customer service was excellent and very responsive. Everything was delivered ahead of schedule.,8,"[0.0, 0.6, 0.0]","['Neutral', 'Positive', 'Neutral']","['delivered ahead', 'ahead schedule', 'schedule customer', 'responsive delivered', 'delivered']",Other,0.6,Positive,False
ORD-96650,"It works as described, but I expected more features.",4,[0.2],['Positive'],"['features', 'works described', 'expected features', 'works', 'described']",Other,0.2,Positive,True
ORD-45507,"Delivery was on time, but packaging could be better.",5,[0.5],['Positive'],"['packaging better', 'delivery time', 'packaging', 'time packaging', 'delivery']",Other,0.5,Positive,True
ORD-68211,Customer service was excellent and very responsive.,10,[0.6],['Positive'],"['service excellent', 'customer service', 'excellent responsive', 'customer', 'service']",Support Experience,0.6,Positive,False
ORD-71368,Customer service was excellent and very responsive.,10,[0.6],['Positive'],"['service excellent', 'customer service', 'excellent responsive', 'customer', 'service']",Support Experience,0.6,Positive,False
ORD-64875,"It works as described, but I expected more features. The experience was average. The product was okay, nothing special.",5,"[0.2, -0.15, 0.4285714285714286]","['Positive', 'Negative', 'Positive']","['features experience', 'features', 'expected features', 'works described', 'experience']",Other,0.22142857142857145,Positive,True
ORD-81818,Everything was delivered ahead of schedule. Very satisfied with the quality and support. I love the product! It exceeded my expectations.,10,"[0.0, 0.65, 0.625, 0.0]","['Neutral', 'Positive', 'Positive', 'Neutral']","['delivered ahead', 'schedule satisfied', 'ahead schedule', 'delivered', 'schedule']",Other,0.6375,Positive,False
ORD-90759,Customer service was unhelpful.,3,[0.0],['Neutral'],"['service unhelpful', 'unhelpful', 'customer service', 'customer', 'service']",Support Experience,0.0,Neutral,False
ORD-32649,"It works as described, but I expected more features. It works as described, but I expected more features. Nothing stood out, but nothing was particularly bad either. The experience was average.",7,"[0.2, 0.2, -0.6999999999999998, -0.15]","['Positive', 'Positive', 'Negative', 'Negative']","['features works', 'features', 'works described', 'expected features', 'experience']",Other,-0.008333333333333299,Neutral,False
ORD-77731,Everything was delivered ahead of schedule. I had a fantastic experience. Will definitely return.,10,"[0.0, 0.4, 0.0]","['Neutral', 'Positive', 'Neutral']","['definitely return', 'delivered ahead', 'delivered', 'schedule fantastic', 'fantastic experience']",Other,0.2,Positive,False
ORD-95663,I won't be purchasing again.,2,[0.0],['Neutral'],"['purchasing', 'won purchasing', 'won']",Other,0.0,Neutral,False
ORD-36316,Customer service was unhelpful.,1,[0.0],['Neutral'],"['service unhelpful', 'unhelpful', 'customer service', 'customer', 'service']",Support Experience,0.0,Neutral,False
ORD-77187,Customer service was excellent and very responsive. Everything was delivered ahead of schedule.,10,"[0.6, 0.0]","['Positive', 'Neutral']","['service excellent', 'customer service', 'responsive delivered', 'customer', 'excellent responsive']",Support Experience,0.6,Positive,False
ORD-27947,I had a fantastic experience. Will definitely return. I had a fantastic experience. Will definitely return.,9,"[0.4, 0.0, 0.4, 0.0]","['Positive', 'Neutral', 'Positive', 'Neutral']","['definitely return', 'fantastic experience', 'return fantastic', 'return', 'experience definitely']",Other,0.2,Positive,False
ORD-04712,I had a fantastic experience. Will definitely return. Customer service was excellent and very responsive. I had a fantastic experience. Will definitely return. Everything was delivered ahead of schedule.,10,"[0.4, 0.0, 0.6, 0.4, 0.0, 0.0]","['Positive', 'Neutral', 'Positive', 'Positive', 'Neutral', 'Neutral']","['return delivered', 'return customer', 'definitely return', 'return', 'service excellent']",Other,0.3333333333333333,Positive,False
ORD-15260,"Delivery was on time, but packaging could be better. Delivery was on time, but packaging could be better.",7,"[0.5, 0.5]","['Positive', 'Positive']","['delivery time', 'packaging better', 'time packaging', 'better delivery', 'packaging']",Other,0.5,Positive,False
ORD-31915,I had a fantastic experience. Will definitely return.,8,"[0.4, 0.0]","['Positive', 'Neutral']","['definitely return', 'fantastic experience', 'return', 'experience definitely', 'experience']",Other,0.2,Positive,False
ORD-34382,I'm disappointed with the product quality. I won't be purchasing again. I'm disappointed with the product quality. Very dissatisfied. It didn't meet my needs.,2,"[-0.75, 0.0, -0.75, 0.2, 0.0]","['Negative', 'Neutral', 'Negative', 'Positive', 'Neutral']","['product quality', 'quality', 'quality dissatisfied', 'quality won', 'disappointed product']",Product Quality,-0.43333333333333335,Negative,False
ORD-09978,"The product was okay, nothing special. Delivery was on time, but packaging could be better. The product was okay, nothing special.",4,"[0.4285714285714286, 0.5, 0.4285714285714286]","['Positive', 'Positive', 'Positive']","['packaging better', 'packaging', 'special delivery', 'product okay', 'time packaging']",Other,0.4428571428571429,Positive,True
ORD-96802,Customer service was unhelpful. The order arrived late and was damaged.,1,"[0.0, -0.3]","['Neutral', 'Negative']","['customer service', 'order arrived', 'late damaged', 'customer', 'service unhelpful']",Support Experience,-0.3,Negative,False
ORD-64789,Very dissatisfied. It didn't meet my needs. The order arrived late and was damaged. The order arrived late and was damaged.,2,"[0.2, 0.0, -0.3, -0.3]","['Positive', 'Neutral', 'Negative', 'Negative']","['dissatisfied', 'dissatisfied didn', 'order arrived', 'order', 'needs order']",Other,-0.13333333333333333,Negative,False
ORD-89704,Very dissatisfied. It didn't meet my needs. Customer service was unhelpful. Customer service was unhelpful. I won't be purchasing again.,3,"[0.2, 0.0, 0.0, 0.0, 0.0]","['Positive', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['dissatisfied', 'dissatisfied didn', 'unhelpful customer', 'customer service', 'needs customer']",Support Experience,0.2,Positive,True
ORD-88257,"Nothing stood out, but nothing was particularly bad either.",4,[-0.6999999999999998],['Negative'],"['stood particularly', 'particularly bad', 'bad', 'stood', 'particularly']",Other,-0.6999999999999998,Negative,False
ORD-92430,I'm disappointed with the product quality. Very dissatisfied. It didn't meet my needs.,3,"[-0.75, 0.2, 0.0]","['Negative', 'Positive', 'Neutral']","['product quality', 'disappointed product', 'quality dissatisfied', 'quality', 'dissatisfied']",Product Quality,-0.275,Negative,False
ORD-78274,The order arrived late and was damaged. Very dissatisfied. It didn't meet my needs. The order arrived late and was damaged.,1,"[-0.3, 0.2, 0.0, -0.3]","['Negative', 'Positive', 'Neutral', 'Negative']","['order arrived', 'order', 'needs order', 'late damaged', 'damaged dissatisfied']",Other,-0.13333333333333333,Negative,False
ORD-49268,"The product was okay, nothing special. It works as described, but I expected more features.",4,"[0.4285714285714286, 0.2]","['Positive', 'Positive']","['product okay', 'features', 'special works', 'works described', 'expected features']",Other,0.3142857142857143,Positive,True
ORD-50753,Customer service was excellent and very responsive.,8,[0.6],['Positive'],"['service excellent', 'customer service', 'excellent responsive', 'customer', 'service']",Support Experience,0.6,Positive,False
ORD-31102,The experience was average.,6,[-0.15],['Negative'],"['experience average', 'experience', 'average']",Other,-0.15,Negative,True
ORD-70693,I won't be purchasing again. Customer service was unhelpful.,3,"[0.0, 0.0]","['Neutral', 'Neutral']","['purchasing customer', 'customer', 'customer service', 'service unhelpful', 'won purchasing']",Support Experience,0.0,Neutral,False
ORD-87085,I'm disappointed with the product quality.,3,[-0.75],['Negative'],"['disappointed product', 'product quality', 'quality', 'disappointed', 'product']",Product Quality,-0.75,Negative,False
ORD-94826,"Delivery was on time, but packaging could be better. The experience was average.",4,"[0.5, -0.15]","['Positive', 'Negative']","['packaging better', 'delivery time', 'packaging', 'time packaging', 'delivery']",Other,0.175,Positive,True
ORD-65913,I had a fantastic experience. Will definitely return. Everything was delivered ahead of schedule.,10,"[0.4, 0.0, 0.0]","['Positive', 'Neutral', 'Neutral']","['definitely return', 'return delivered', 'fantastic experience', 'return', 'delivered ahead']",Other,0.2,Positive,False
ORD-26112,Customer service was excellent and very responsive. I had a fantastic experience. Will definitely return. Everything was delivered ahead of schedule.,8,"[0.6, 0.4, 0.0, 0.0]","['Positive', 'Positive', 'Neutral', 'Neutral']","['customer service', 'service excellent', 'return delivered', 'excellent responsive', 'customer']",Support Experience,0.4,Positive,False
ORD-07799,The experience was average.,6,[-0.15],['Negative'],"['experience average', 'experience', 'average']",Other,-0.15,Negative,True
ORD-02892,Customer service was unhelpful.,3,[0.0],['Neutral'],"['service unhelpful', 'unhelpful', 'customer service', 'customer', 'service']",Support Experience,0.0,Neutral,False
ORD-56319,"The product was okay, nothing special. Delivery was on time, but packaging could be better.",4,"[0.4285714285714286, 0.5]","['Positive', 'Positive']","['packaging better', 'packaging', 'special delivery', 'time packaging', 'delivery time']",Other,0.4523809523809524,Positive,True
ORD-62448,The experience was average.,4,[-0.15],['Negative'],"['experience average', 'experience', 'average']",Other,-0.15,Negative,False
